date,BTC,ETH,BNB,XRP,ADA,DOGE,SOL,DOT,AVAX,LINK
2020-02-22,24636.757623,313062.52133,2139282.22,107040364.2,137773571.5,107733066.0,,,,6716454.02
2020-02-23,37702.089843,444740.82883,3052036.96,134020545.9,182144312.0,85158189.0,,,,5652318.24
2020-02-24,55796.59612,696591.72983,2294898.35,184354129.7,239584286.3,123771852.0,,,,8591286.07
2020-02-25,54379.344552,774791.01027,2335580.11,209531989.3,252035011.9,256619298.0,,,,12394531.52
2020-02-26,92130.345482,1395879.41507,3772185.04,366105232.9,628740635.6,305716693.0,,,,22248039.55
2020-02-27,72483.578762,1273793.11658,3018934.76,250168249.9,396151349.9,164177168.0,,,,19252934.55
2020-02-28,71155.208977,1054994.92397,3099999.93,190843431.7,341622382.6,99076087.0,,,,18277736.2
2020-02-29,36748.183035,546866.6851,3569383.92,104602134.2,219715834.0,84399218.0,,,,12512141.06
2020-03-01,43892.201779,715016.01941,2382184.78,125219316.2,289344971.6,116810334.0,,,,14748523.07
2020-03-02,60401.31773,810051.4833,3267729.0,138299654.6,245027392.9,96449244.0,,,,12656156.05
2020-03-03,55154.997282,741498.54825,2545825.0,130633902.5,210562458.0,276081118.0,,,,17189323.0
2020-03-04,38696.482578,443780.33772,2408511.94,92570643.5,212432446.7,201587827.0,,,,18623299.51
2020-03-05,58201.866355,601479.87587,3090423.11,130944711.9,239400269.0,122219349.0,,,,11867449.08
2020-03-06,43782.948044,628147.3257,3229858.82,116563269.6,166677789.3,63303104.0,,,,7667605.13
2020-03-07,45422.204525,633748.89662,2378944.85,95845464.2,159048525.4,112331024.0,,,,8209506.85
2020-03-08,77537.315166,1278973.53741,3465550.25,271417418.6,338062171.8,181080658.0,,,,18324667.26
2020-03-09,116968.863268,1661331.83553,4046754.14,288610509.4,453024388.7,229780847.0,,,,29055644.52
2020-03-10,86783.443875,1020260.107,3449744.57,182259714.8,362267320.9,225779527.0,,,,18071323.59
2020-03-11,79942.411172,1079824.90167,2581538.77,178652631.5,370400639.3,128060172.0,,,,19593491.56
2020-03-12,261505.608653,3814533.14046,8801238.37,771225355.4,1182129732.4,770809996.0,,,,72676626.17
2020-03-13,402201.673764,4663239.92861,11661947.1,1234550066.8,1313130187.5,372647948.0,,,,73634341.0
2020-03-14,136910.135974,1237674.88642,5350550.68,317354167.4,381841598.4,224230347.0,,,,21644199.58
2020-03-15,139916.146534,1312950.90137,6424065.36,292888161.2,364886224.3,183272920.0,,,,24056586.5
2020-03-16,227276.92276,2442064.14448,5814301.17,534401535.9,695930389.6,232810549.0,,,,47175196.27
2020-03-17,150089.926318,1295108.4848,5102840.45,317550005.4,389737125.2,120269653.0,,,,32839078.68
2020-03-18,137127.634894,1201850.31275,4453108.43,233087384.9,302852175.1,153194705.0,,,,22313474.3
2020-03-19,199020.873439,1801071.18816,5850057.14,357277613.5,509780641.3,315677300.0,,,,33408982.34
